t	Alfa	omega	energia
0.028100	3.112893	4.035290	20539.998633
0.028200	3.113297	4.035418	20540.958131
0.028300	3.113700	4.035545	20541.917276
0.028400	3.114104	4.035673	20542.876066
0.028500	3.114508	4.035800	20543.834502
0.028600	3.114911	4.035928	20544.792584
0.028700	3.115315	4.036055	20545.750312
0.028800	3.115718	4.036183	20546.707686
0.028900	3.116122	4.036310	20547.664706
0.029000	3.116526	4.036438	20548.621371
0.029100	3.116929	4.036565	20549.577682
0.029200	3.117333	4.036693	20550.533638
0.029300	3.117737	4.036820	20551.489241
0.029400	3.118140	4.036948	20552.444488
0.029500	3.118544	4.037076	20553.399381
0.029600	3.118948	4.037203	20554.353920
0.029700	3.119351	4.037331	20555.308104
0.029800	3.119755	4.037458	20556.261933
0.029900	3.120159	4.037586	20557.215408
0.030000	3.120563	4.037714	20558.168528
0.030100	3.120967	4.037841	20559.121293
0.030200	3.121370	4.037969	20560.073703
0.030300	3.121774	4.038097	20561.025759
0.030400	3.122178	4.038225	20561.977459
0.030500	3.122582	4.038352	20562.928805
0.030600	3.122986	4.038480	20563.879795
0.030700	3.123389	4.038608	20564.830431
0.030800	3.123793	4.038736	20565.780711
0.030900	3.124197	4.038863	20566.730636
0.031000	3.124601	4.038991	20567.680206
0.031100	3.125005	4.039119	20568.629421
0.031200	3.125409	4.039247	20569.578280
0.031300	3.125813	4.039375	20570.526784
0.031400	3.126217	4.039503	20571.474933
0.031500	3.126621	4.039630	20572.422726
0.031600	3.127025	4.039758	20573.370164
0.031700	3.127429	4.039886	20574.317246
0.031800	3.127833	4.040014	20575.263973
0.031900	3.128237	4.040142	20576.210344
0.032000	3.128641	4.040270	20577.156360
0.032100	3.129045	4.040398	20578.102019
0.032200	3.129449	4.040526	20579.047323
0.032300	3.129853	4.040654	20579.992272
0.032400	3.130257	4.040782	20580.936864
0.032500	3.130661	4.040910	20581.881101
0.032600	3.131065	4.041038	20582.824981
0.032700	3.131469	4.041166	20583.768506
0.032800	3.131873	4.041294	20584.711674
0.032900	3.132277	4.041422	20585.654487
0.033000	3.132682	4.041550	20586.596944
0.033100	3.133086	4.041678	20587.539044
0.033200	3.133490	4.041806	20588.480788
0.033300	3.133894	4.041934	20589.422176
0.033400	3.134298	4.042062	20590.363208
0.033500	3.134703	4.042191	20591.303883
0.033600	3.135107	4.042319	20592.244202
0.033700	3.135511	4.042447	20593.184165
0.033800	3.135915	4.042575	20594.123771
0.033900	3.136320	4.042703	20595.063020
0.034000	3.136724	4.042831	20596.001913
0.034100	3.137128	4.042960	20596.940450
0.034200	3.137532	4.043088	20597.878630
0.034300	3.137937	4.043216	20598.816453
0.034400	3.138341	4.043344	20599.753920
0.034500	3.138745	4.043473	20600.691029
0.034600	3.139150	4.043601	20601.627782
0.034700	3.139554	4.043729	20602.564179
0.034800	3.139959	4.043857	20603.500218
0.034900	3.140363	4.043986	20604.435900
0.035000	3.140767	4.044114	20605.371226
0.035100	3.141172	4.044242	20606.306194
